# Force and moment coefficients
# dragDir     : (1.000000e+00 0.000000e+00 0.000000e+00)
# sideDir     : (0.000000e+00 1.000000e+00 0.000000e+00)
# liftDir     : (0.000000e+00 0.000000e+00 1.000000e+00)
# rollAxis    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis   : (0.000000e+00 1.000000e+00 0.000000e+00)
# yawAxis     : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf     : 1.000000e+00
# lRef        : 2.000000e+00
# Aref        : 2.000000e+00
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	Cd            
1             	4.773641e-06
2             	-1.816600e-05
3             	-1.518204e-06
4             	1.518692e-06
5             	3.268765e-06
6             	3.727411e-06
7             	6.511909e-06
8             	8.098604e-06
9             	7.321853e-06
10            	7.845505e-06
11            	1.051543e-05
12            	1.090018e-05
13            	1.010703e-05
14            	1.209143e-05
15            	1.390788e-05
16            	1.354330e-05
17            	1.395020e-05
18            	1.620439e-05
19            	1.704300e-05
20            	1.682658e-05
21            	1.835932e-05
22            	2.024417e-05
23            	2.060649e-05
24            	2.122664e-05
25            	2.327761e-05
26            	2.467528e-05
27            	2.519978e-05
28            	2.673767e-05
29            	2.884382e-05
30            	3.004480e-05
31            	3.122921e-05
32            	3.341117e-05
33            	3.546933e-05
34            	3.693529e-05
35            	3.892660e-05
36            	4.148958e-05
37            	4.365496e-05
38            	4.570328e-05
39            	4.837349e-05
40            	5.118154e-05
41            	5.366304e-05
42            	5.636168e-05
43            	5.949001e-05
44            	6.251699e-05
45            	6.543186e-05
46            	6.866924e-05
47            	7.208801e-05
48            	7.536466e-05
49            	7.869556e-05
50            	8.226844e-05
51            	8.585601e-05
52            	8.936465e-05
53            	9.298749e-05
54            	9.672824e-05
55            	1.004249e-04
56            	1.041085e-04
57            	1.078848e-04
58            	1.116896e-04
59            	1.154523e-04
60            	1.192314e-04
61            	1.230556e-04
62            	1.268658e-04
63            	1.306503e-04
64            	1.344494e-04
65            	1.382549e-04
66            	1.420340e-04
67            	1.457970e-04
68            	1.495592e-04
69            	1.533054e-04
70            	1.570247e-04
71            	1.607272e-04
72            	1.644141e-04
73            	1.680752e-04
74            	1.717090e-04
75            	1.753204e-04
76            	1.789066e-04
77            	1.824629e-04
78            	1.859903e-04
79            	1.894896e-04
80            	1.929581e-04
81            	1.963943e-04
82            	1.997987e-04
83            	2.031706e-04
84            	2.065087e-04
85            	2.098129e-04
86            	2.130828e-04
87            	2.163173e-04
88            	2.195166e-04
89            	2.226805e-04
90            	2.258074e-04
91            	2.288977e-04
92            	2.319513e-04
93            	2.349678e-04
94            	2.379470e-04
95            	2.408884e-04
96            	2.437921e-04
97            	2.466579e-04
98            	2.494860e-04
99            	2.522759e-04
100           	2.550275e-04
101           	2.577407e-04
102           	2.604154e-04
103           	2.630514e-04
104           	2.656492e-04
105           	2.682081e-04
106           	2.707287e-04
107           	2.732105e-04
108           	2.756538e-04
109           	2.780579e-04
110           	2.804232e-04
111           	2.827509e-04
112           	2.850398e-04
113           	2.872919e-04
114           	2.895049e-04
115           	2.916815e-04
116           	2.938216e-04
117           	2.959247e-04
118           	2.979895e-04
119           	3.000147e-04
120           	3.020046e-04
121           	3.039579e-04
122           	3.058757e-04
123           	3.077609e-04
124           	3.096117e-04
125           	3.114244e-04
126           	3.132013e-04
127           	3.149439e-04
128           	3.166527e-04
129           	3.183279e-04
130           	3.199670e-04
131           	3.215732e-04
132           	3.231489e-04
133           	3.246909e-04
134           	3.261974e-04
135           	3.276699e-04
136           	3.291046e-04
137           	3.305103e-04
138           	3.318935e-04
139           	3.332454e-04
140           	3.345618e-04
141           	3.358460e-04
142           	3.370986e-04
143           	3.383231e-04
144           	3.395209e-04
145           	3.406877e-04
146           	3.418259e-04
147           	3.429335e-04
148           	3.440068e-04
149           	3.450389e-04
150           	3.460373e-04
151           	3.470195e-04
152           	3.479747e-04
153           	3.488921e-04
154           	3.497803e-04
155           	3.506469e-04
156           	3.514794e-04
157           	3.522771e-04
158           	3.530495e-04
159           	3.538084e-04
160           	3.545384e-04
161           	3.552333e-04
162           	3.559091e-04
163           	3.565621e-04
164           	3.571825e-04
165           	3.577740e-04
166           	3.583392e-04
167           	3.588799e-04
168           	3.593967e-04
169           	3.598900e-04
170           	3.603623e-04
171           	3.608159e-04
172           	3.612488e-04
173           	3.616584e-04
174           	3.620439e-04
175           	3.624060e-04
176           	3.627473e-04
177           	3.630712e-04
178           	3.633790e-04
179           	3.636585e-04
180           	3.639087e-04
181           	3.641412e-04
182           	3.643778e-04
183           	3.646272e-04
184           	3.648135e-04
185           	3.649812e-04
186           	3.652081e-04
187           	3.654225e-04
188           	3.655484e-04
189           	3.656311e-04
190           	3.657207e-04
191           	3.658472e-04
192           	3.659699e-04
193           	3.660462e-04
194           	3.660591e-04
195           	3.660613e-04
196           	3.661148e-04
197           	3.661857e-04
198           	3.662413e-04
199           	3.662731e-04
200           	3.662888e-04
201           	3.662881e-04
202           	3.662706e-04
203           	3.662444e-04
204           	3.662102e-04
205           	3.661586e-04
206           	3.660892e-04
207           	3.660096e-04
208           	3.659195e-04
209           	3.658171e-04
210           	3.657078e-04
211           	3.655858e-04
212           	3.654454e-04
213           	3.652945e-04
214           	3.651325e-04
215           	3.649527e-04
216           	3.647673e-04
217           	3.645856e-04
218           	3.644019e-04
219           	3.642043e-04
220           	3.639869e-04
221           	3.637532e-04
222           	3.635139e-04
223           	3.632794e-04
224           	3.630375e-04
225           	3.627938e-04
226           	3.625360e-04
227           	3.622600e-04
228           	3.619735e-04
229           	3.616756e-04
230           	3.613665e-04
231           	3.610638e-04
232           	3.607630e-04
233           	3.604419e-04
234           	3.601159e-04
235           	3.597890e-04
236           	3.594542e-04
237           	3.591069e-04
238           	3.587504e-04
239           	3.583873e-04
240           	3.580179e-04
241           	3.576378e-04
242           	3.572515e-04
243           	3.568567e-04
244           	3.564568e-04
245           	3.560471e-04
246           	3.556275e-04
247           	3.552036e-04
248           	3.547703e-04
249           	3.543347e-04
250           	3.538916e-04
251           	3.534574e-04
252           	3.530244e-04
253           	3.525805e-04
254           	3.521220e-04
255           	3.516501e-04
256           	3.511699e-04
257           	3.506963e-04
258           	3.502166e-04
259           	3.497309e-04
260           	3.492330e-04
261           	3.487282e-04
262           	3.482179e-04
263           	3.477097e-04
264           	3.472058e-04
265           	3.467061e-04
266           	3.461977e-04
267           	3.456756e-04
268           	3.451539e-04
269           	3.446209e-04
270           	3.440926e-04
271           	3.435681e-04
272           	3.430181e-04
273           	3.424594e-04
274           	3.419059e-04
275           	3.413435e-04
276           	3.407863e-04
277           	3.402280e-04
278           	3.396625e-04
279           	3.391068e-04
280           	3.385518e-04
281           	3.379839e-04
282           	3.374176e-04
283           	3.368498e-04
284           	3.362816e-04
285           	3.357123e-04
286           	3.351393e-04
287           	3.345654e-04
288           	3.339867e-04
289           	3.333991e-04
290           	3.328175e-04
291           	3.322358e-04
292           	3.316423e-04
293           	3.310520e-04
294           	3.304678e-04
295           	3.298814e-04
296           	3.292932e-04
297           	3.286986e-04
298           	3.281083e-04
299           	3.275287e-04
300           	3.269484e-04
301           	3.263698e-04
302           	3.257898e-04
303           	3.252045e-04
304           	3.246222e-04
305           	3.240444e-04
306           	3.234685e-04
307           	3.228901e-04
308           	3.223102e-04
309           	3.217311e-04
310           	3.211421e-04
311           	3.205504e-04
312           	3.199658e-04
313           	3.193833e-04
314           	3.188003e-04
315           	3.182156e-04
316           	3.176317e-04
317           	3.170452e-04
318           	3.164571e-04
319           	3.158704e-04
320           	3.152896e-04
321           	3.147201e-04
322           	3.141512e-04
323           	3.135794e-04
324           	3.130106e-04
325           	3.124458e-04
326           	3.118795e-04
327           	3.113139e-04
328           	3.107453e-04
329           	3.101779e-04
330           	3.096157e-04
331           	3.090672e-04
332           	3.085264e-04
333           	3.080149e-04
334           	3.075037e-04
335           	3.069828e-04
336           	3.064516e-04
337           	3.059118e-04
338           	3.053801e-04
339           	3.048796e-04
340           	3.043739e-04
341           	3.038706e-04
342           	3.033955e-04
343           	3.029358e-04
344           	3.024828e-04
345           	3.020255e-04
346           	3.015652e-04
347           	3.011063e-04
348           	3.006531e-04
349           	3.001838e-04
350           	2.997201e-04
351           	2.992623e-04
352           	2.988083e-04
353           	2.983510e-04
354           	2.978984e-04
355           	2.974524e-04
356           	2.970076e-04
357           	2.965608e-04
358           	2.961166e-04
359           	2.956716e-04
360           	2.952219e-04
361           	2.947712e-04
362           	2.943243e-04
363           	2.938839e-04
364           	2.934490e-04
365           	2.930143e-04
366           	2.925775e-04
367           	2.921355e-04
368           	2.916895e-04
369           	2.912501e-04
370           	2.908205e-04
371           	2.903915e-04
372           	2.899622e-04
373           	2.895323e-04
374           	2.891027e-04
375           	2.886740e-04
376           	2.882518e-04
377           	2.878349e-04
378           	2.874192e-04
379           	2.870061e-04
380           	2.865908e-04
381           	2.861770e-04
382           	2.857641e-04
383           	2.853514e-04
384           	2.849356e-04
385           	2.845216e-04
386           	2.841117e-04
387           	2.837115e-04
388           	2.833166e-04
389           	2.829254e-04
390           	2.825298e-04
391           	2.821326e-04
392           	2.817371e-04
393           	2.813433e-04
394           	2.809505e-04
395           	2.805593e-04
396           	2.801688e-04
397           	2.797777e-04
398           	2.793894e-04
399           	2.790010e-04
400           	2.786156e-04
401           	2.782319e-04
402           	2.778500e-04
403           	2.774689e-04
404           	2.770909e-04
405           	2.767157e-04
406           	2.763451e-04
407           	2.759777e-04
408           	2.756071e-04
409           	2.752321e-04
410           	2.748545e-04
411           	2.744802e-04
412           	2.741099e-04
413           	2.737411e-04
414           	2.733739e-04
415           	2.730105e-04
416           	2.726499e-04
417           	2.722912e-04
418           	2.719333e-04
419           	2.715748e-04
420           	2.712165e-04
421           	2.708575e-04
422           	2.704976e-04
423           	2.701356e-04
424           	2.697723e-04
425           	2.694112e-04
426           	2.690524e-04
427           	2.686965e-04
428           	2.683425e-04
429           	2.679899e-04
430           	2.676400e-04
431           	2.672923e-04
432           	2.669449e-04
433           	2.665950e-04
434           	2.662436e-04
435           	2.658902e-04
436           	2.655382e-04
437           	2.651877e-04
438           	2.648395e-04
439           	2.644922e-04
440           	2.641424e-04
441           	2.637933e-04
442           	2.634461e-04
443           	2.630988e-04
444           	2.627637e-04
445           	2.624285e-04
446           	2.620939e-04
447           	2.617591e-04
448           	2.614234e-04
449           	2.610868e-04
450           	2.607527e-04
451           	2.604199e-04
452           	2.600878e-04
453           	2.597582e-04
454           	2.594267e-04
455           	2.590973e-04
456           	2.587680e-04
457           	2.584471e-04
458           	2.581285e-04
459           	2.578160e-04
460           	2.575041e-04
461           	2.571932e-04
462           	2.568831e-04
463           	2.565784e-04
464           	2.562727e-04
465           	2.559669e-04
466           	2.556677e-04
467           	2.553690e-04
468           	2.550719e-04
469           	2.547790e-04
470           	2.544857e-04
471           	2.541933e-04
472           	2.539044e-04
473           	2.536156e-04
474           	2.533262e-04
475           	2.530418e-04
476           	2.527608e-04
477           	2.524794e-04
478           	2.522018e-04
479           	2.519243e-04
480           	2.516474e-04
481           	2.513753e-04
482           	2.511064e-04
483           	2.508402e-04
484           	2.505770e-04
485           	2.503168e-04
486           	2.500605e-04
487           	2.498069e-04
488           	2.495555e-04
489           	2.493054e-04
490           	2.490575e-04
491           	2.488109e-04
492           	2.485662e-04
493           	2.483233e-04
494           	2.480739e-04
495           	2.478275e-04
496           	2.475833e-04
497           	2.473399e-04
498           	2.470975e-04
499           	2.468559e-04
500           	2.466150e-04
501           	2.463767e-04
502           	2.461402e-04
503           	2.459067e-04
504           	2.456742e-04
505           	2.454448e-04
506           	2.452165e-04
507           	2.449869e-04
508           	2.447592e-04
509           	2.445325e-04
510           	2.443075e-04
511           	2.440829e-04
512           	2.438578e-04
513           	2.436338e-04
514           	2.434103e-04
515           	2.431863e-04
516           	2.429664e-04
517           	2.427457e-04
518           	2.425272e-04
519           	2.423101e-04
520           	2.420939e-04
521           	2.418809e-04
522           	2.416669e-04
523           	2.414526e-04
524           	2.412383e-04
525           	2.410259e-04
526           	2.408124e-04
527           	2.405983e-04
528           	2.403834e-04
529           	2.401700e-04
530           	2.399567e-04
531           	2.397467e-04
532           	2.395380e-04
533           	2.393306e-04
534           	2.391248e-04
535           	2.389195e-04
536           	2.387155e-04
537           	2.385118e-04
538           	2.383101e-04
539           	2.381083e-04
540           	2.379079e-04
541           	2.377070e-04
542           	2.375071e-04
543           	2.373072e-04
544           	2.371077e-04
545           	2.369100e-04
546           	2.367125e-04
547           	2.365154e-04
548           	2.363184e-04
549           	2.361223e-04
550           	2.359262e-04
551           	2.357311e-04
552           	2.355370e-04
553           	2.353456e-04
554           	2.351528e-04
555           	2.349615e-04
556           	2.347700e-04
557           	2.345807e-04
558           	2.343906e-04
559           	2.342017e-04
560           	2.340119e-04
561           	2.338247e-04
562           	2.336382e-04
563           	2.334521e-04
564           	2.332662e-04
565           	2.330816e-04
566           	2.328980e-04
567           	2.327159e-04
568           	2.325354e-04
569           	2.323543e-04
570           	2.321744e-04
571           	2.319952e-04
572           	2.318169e-04
573           	2.316399e-04
574           	2.314643e-04
575           	2.312895e-04
576           	2.311145e-04
577           	2.309411e-04
578           	2.307689e-04
579           	2.305980e-04
580           	2.304279e-04
581           	2.302589e-04
582           	2.300918e-04
583           	2.299246e-04
584           	2.297589e-04
585           	2.295937e-04
586           	2.294300e-04
587           	2.292662e-04
588           	2.291033e-04
589           	2.289425e-04
590           	2.287827e-04
591           	2.286240e-04
592           	2.284653e-04
593           	2.283070e-04
594           	2.281497e-04
595           	2.279935e-04
596           	2.278384e-04
597           	2.276844e-04
598           	2.275304e-04
599           	2.273769e-04
600           	2.272241e-04
601           	2.270722e-04
602           	2.269214e-04
603           	2.267714e-04
604           	2.266217e-04
605           	2.264730e-04
606           	2.263259e-04
607           	2.261793e-04
608           	2.260329e-04
609           	2.258874e-04
610           	2.257423e-04
611           	2.255981e-04
612           	2.254554e-04
613           	2.253140e-04
614           	2.251729e-04
615           	2.250323e-04
616           	2.248931e-04
617           	2.247585e-04
618           	2.246249e-04
619           	2.244926e-04
620           	2.243614e-04
621           	2.242317e-04
622           	2.241027e-04
623           	2.239743e-04
624           	2.238466e-04
625           	2.237195e-04
626           	2.235936e-04
627           	2.234682e-04
628           	2.233438e-04
629           	2.232204e-04
630           	2.230972e-04
631           	2.229780e-04
632           	2.228579e-04
633           	2.227379e-04
634           	2.226167e-04
635           	2.224973e-04
636           	2.223783e-04
637           	2.222601e-04
638           	2.221455e-04
639           	2.220293e-04
640           	2.219135e-04
641           	2.218003e-04
642           	2.216857e-04
643           	2.215706e-04
644           	2.214560e-04
645           	2.213418e-04
646           	2.212279e-04
647           	2.211177e-04
648           	2.210066e-04
649           	2.208983e-04
650           	2.207884e-04
651           	2.206781e-04
652           	2.205712e-04
653           	2.204629e-04
654           	2.203577e-04
655           	2.202503e-04
656           	2.201463e-04
657           	2.200428e-04
658           	2.199380e-04
659           	2.198358e-04
660           	2.197316e-04
661           	2.196302e-04
662           	2.195296e-04
663           	2.194300e-04
664           	2.193277e-04
665           	2.192250e-04
666           	2.191256e-04
667           	2.190276e-04
668           	2.189308e-04
669           	2.188314e-04
670           	2.187348e-04
671           	2.186389e-04
672           	2.185449e-04
673           	2.184512e-04
674           	2.183580e-04
675           	2.182651e-04
676           	2.181725e-04
677           	2.180806e-04
678           	2.179885e-04
679           	2.178969e-04
680           	2.178065e-04
681           	2.177163e-04
682           	2.176270e-04
683           	2.175331e-04
684           	2.174437e-04
685           	2.173506e-04
686           	2.172627e-04
687           	2.171747e-04
688           	2.170838e-04
689           	2.169939e-04
690           	2.169018e-04
691           	2.168165e-04
692           	2.167278e-04
693           	2.166440e-04
694           	2.165562e-04
695           	2.164735e-04
696           	2.163870e-04
697           	2.163059e-04
698           	2.162212e-04
699           	2.161410e-04
700           	2.160570e-04
701           	2.159781e-04
702           	2.158957e-04
703           	2.158180e-04
704           	2.157369e-04
705           	2.156600e-04
706           	2.155793e-04
707           	2.155041e-04
708           	2.154254e-04
709           	2.153515e-04
710           	2.152736e-04
711           	2.152008e-04
712           	2.151244e-04
713           	2.150523e-04
714           	2.149771e-04
715           	2.149063e-04
716           	2.148319e-04
717           	2.147620e-04
718           	2.146889e-04
719           	2.146204e-04
720           	2.145482e-04
721           	2.144805e-04
722           	2.144094e-04
723           	2.143425e-04
724           	2.142722e-04
725           	2.142061e-04
726           	2.141367e-04
727           	2.140715e-04
728           	2.140031e-04
729           	2.139390e-04
730           	2.138720e-04
731           	2.138090e-04
732           	2.137429e-04
733           	2.136808e-04
734           	2.136151e-04
735           	2.135537e-04
736           	2.134892e-04
737           	2.134287e-04
738           	2.133647e-04
739           	2.133010e-04
740           	2.132407e-04
741           	2.131784e-04
742           	2.131194e-04
743           	2.130579e-04
744           	2.129965e-04
745           	2.129344e-04
746           	2.128766e-04
747           	2.128166e-04
748           	2.127603e-04
749           	2.127013e-04
750           	2.126459e-04
751           	2.125877e-04
752           	2.125297e-04
753           	2.124712e-04
754           	2.124134e-04
755           	2.123554e-04
756           	2.123013e-04
757           	2.122457e-04
758           	2.121897e-04
759           	2.121338e-04
760           	2.120787e-04
761           	2.120235e-04
762           	2.119685e-04
763           	2.119141e-04
764           	2.118602e-04
765           	2.118104e-04
766           	2.117588e-04
767           	2.117074e-04
768           	2.116557e-04
769           	2.116047e-04
770           	2.115536e-04
771           	2.115032e-04
772           	2.114531e-04
773           	2.114034e-04
774           	2.113542e-04
775           	2.113054e-04
776           	2.112571e-04
777           	2.112094e-04
778           	2.111622e-04
779           	2.111155e-04
780           	2.110690e-04
781           	2.110230e-04
782           	2.109774e-04
783           	2.109324e-04
784           	2.108877e-04
785           	2.108436e-04
786           	2.108002e-04
787           	2.107568e-04
788           	2.107124e-04
789           	2.106695e-04
790           	2.106262e-04
791           	2.105843e-04
792           	2.105418e-04
793           	2.105010e-04
794           	2.104608e-04
795           	2.104212e-04
796           	2.103810e-04
797           	2.103420e-04
798           	2.103034e-04
799           	2.102648e-04
800           	2.102271e-04
801           	2.101898e-04
802           	2.101525e-04
803           	2.101158e-04
804           	2.100789e-04
805           	2.100430e-04
806           	2.100068e-04
807           	2.099720e-04
808           	2.099376e-04
809           	2.099028e-04
810           	2.098688e-04
811           	2.098346e-04
812           	2.098005e-04
813           	2.097668e-04
814           	2.097344e-04
815           	2.097020e-04
816           	2.096703e-04
817           	2.096387e-04
818           	2.096082e-04
819           	2.095768e-04
820           	2.095464e-04
821           	2.095159e-04
822           	2.094854e-04
823           	2.094550e-04
824           	2.094249e-04
825           	2.093954e-04
826           	2.093663e-04
827           	2.093385e-04
828           	2.093105e-04
829           	2.092827e-04
830           	2.092549e-04
831           	2.092275e-04
832           	2.092004e-04
833           	2.091745e-04
834           	2.091484e-04
835           	2.091227e-04
836           	2.090967e-04
837           	2.090710e-04
838           	2.090458e-04
839           	2.090207e-04
840           	2.089967e-04
841           	2.089727e-04
842           	2.089487e-04
843           	2.089255e-04
844           	2.089021e-04
845           	2.088788e-04
846           	2.088560e-04
847           	2.088332e-04
848           	2.088110e-04
849           	2.087884e-04
850           	2.087658e-04
851           	2.087434e-04
852           	2.087212e-04
853           	2.086993e-04
854           	2.086777e-04
855           	2.086562e-04
856           	2.086350e-04
857           	2.086140e-04
858           	2.085932e-04
859           	2.085727e-04
860           	2.085524e-04
861           	2.085324e-04
862           	2.085126e-04
863           	2.084931e-04
864           	2.084736e-04
865           	2.084545e-04
866           	2.084354e-04
867           	2.084168e-04
868           	2.083983e-04
869           	2.083800e-04
870           	2.083619e-04
871           	2.083439e-04
872           	2.083261e-04
873           	2.083088e-04
874           	2.082915e-04
875           	2.082744e-04
876           	2.082574e-04
877           	2.082406e-04
878           	2.082239e-04
879           	2.082077e-04
880           	2.081914e-04
881           	2.081754e-04
882           	2.081594e-04
883           	2.081438e-04
884           	2.081283e-04
885           	2.081127e-04
886           	2.080974e-04
887           	2.080822e-04
888           	2.080672e-04
889           	2.080524e-04
890           	2.080377e-04
891           	2.080232e-04
892           	2.080088e-04
893           	2.079946e-04
894           	2.079806e-04
895           	2.079668e-04
896           	2.079532e-04
897           	2.079400e-04
898           	2.079266e-04
899           	2.079132e-04
900           	2.078998e-04
901           	2.078866e-04
902           	2.078735e-04
903           	2.078606e-04
904           	2.078479e-04
905           	2.078353e-04
906           	2.078228e-04
907           	2.078104e-04
908           	2.077982e-04
909           	2.077860e-04
910           	2.077740e-04
911           	2.077622e-04
912           	2.077503e-04
913           	2.077388e-04
914           	2.077273e-04
915           	2.077160e-04
916           	2.077049e-04
917           	2.076939e-04
918           	2.076831e-04
919           	2.076725e-04
920           	2.076619e-04
921           	2.076514e-04
922           	2.076410e-04
923           	2.076309e-04
924           	2.076209e-04
925           	2.076110e-04
926           	2.076011e-04
927           	2.075915e-04
928           	2.075819e-04
929           	2.075726e-04
930           	2.075633e-04
931           	2.075541e-04
932           	2.075451e-04
933           	2.075362e-04
934           	2.075274e-04
935           	2.075188e-04
936           	2.075103e-04
937           	2.075019e-04
938           	2.074936e-04
939           	2.074854e-04
940           	2.074773e-04
941           	2.074694e-04
942           	2.074615e-04
943           	2.074534e-04
944           	2.074381e-04
945           	2.074356e-04
946           	2.074275e-04
947           	2.074193e-04
948           	2.074113e-04
949           	2.074042e-04
950           	2.073974e-04
951           	2.073910e-04
952           	2.073846e-04
953           	2.073781e-04
954           	2.073657e-04
955           	2.073640e-04
956           	2.073579e-04
957           	2.073513e-04
958           	2.073451e-04
959           	2.073392e-04
960           	2.073284e-04
961           	2.073271e-04
962           	2.073221e-04
963           	2.073164e-04
964           	2.073109e-04
965           	2.073011e-04
966           	2.073003e-04
967           	2.072963e-04
968           	2.072916e-04
969           	2.072872e-04
970           	2.072795e-04
971           	2.072792e-04
972           	2.072770e-04
973           	2.072703e-04
974           	2.072692e-04
975           	2.072669e-04
976           	2.072648e-04
977           	2.072608e-04
978           	2.072614e-04
979           	2.072614e-04
980           	2.072595e-04
981           	2.072594e-04
982           	2.072596e-04
983           	2.072604e-04
984           	2.072619e-04
985           	2.072632e-04
986           	2.072653e-04
987           	2.072689e-04
988           	2.072707e-04
989           	2.072739e-04
990           	2.072772e-04
991           	2.072811e-04
992           	2.072852e-04
993           	2.072895e-04
994           	2.072939e-04
995           	2.072984e-04
996           	2.073030e-04
997           	2.073078e-04
998           	2.073128e-04
999           	2.073179e-04
1000          	2.073231e-04
1001          	2.073284e-04
1002          	2.073336e-04
1003          	2.073388e-04
1004          	2.073442e-04
1005          	2.073497e-04
1006          	2.073595e-04
1007          	2.073614e-04
1008          	2.073661e-04
1009          	2.073711e-04
1010          	2.073765e-04
1011          	2.073819e-04
1012          	2.073872e-04
1013          	2.073928e-04
1014          	2.074029e-04
1015          	2.074049e-04
1016          	2.074101e-04
1017          	2.074160e-04
1018          	2.074218e-04
1019          	2.074277e-04
1020          	2.074381e-04
1021          	2.074400e-04
1022          	2.074455e-04
1023          	2.074516e-04
1024          	2.074626e-04
1025          	2.074650e-04
1026          	2.074707e-04
1027          	2.074764e-04
1028          	2.074822e-04
1029          	2.074879e-04
1030          	2.074981e-04
1031          	2.075000e-04
1032          	2.075055e-04
1033          	2.075112e-04
1034          	2.075171e-04
1035          	2.075229e-04
1036          	2.075334e-04
1037          	2.075351e-04
1038          	2.075405e-04
1039          	2.075463e-04
1040          	2.075523e-04
1041          	2.075629e-04
1042          	2.075643e-04
1043          	2.075691e-04
1044          	2.075753e-04
1045          	2.075862e-04
1046          	2.075877e-04
1047          	2.075924e-04
1048          	2.075983e-04
1049          	2.076091e-04
1050          	2.076105e-04
1051          	2.076143e-04
1052          	2.076195e-04
1053          	2.076291e-04
1054          	2.076305e-04
1055          	2.076346e-04
1056          	2.076399e-04
1057          	2.076450e-04
1058          	2.076500e-04
1059          	2.076592e-04
1060          	2.076609e-04
1061          	2.076659e-04
1062          	2.076717e-04
1063          	2.076821e-04
1064          	2.076844e-04
1065          	2.076899e-04
1066          	2.076957e-04
1067          	2.077016e-04
1068          	2.077071e-04
1069          	2.077129e-04
1070          	2.077234e-04
1071          	2.077254e-04
1072          	2.077310e-04
1073          	2.077373e-04
1074          	2.077436e-04
1075          	2.077498e-04
1076          	2.077610e-04
1077          	2.077632e-04
1078          	2.077692e-04
1079          	2.077758e-04
1080          	2.077877e-04
1081          	2.077902e-04
1082          	2.077963e-04
1083          	2.078027e-04
1084          	2.078144e-04
1085          	2.078165e-04
1086          	2.078220e-04
1087          	2.078281e-04
1088          	2.078346e-04
1089          	2.078458e-04
1090          	2.078474e-04
1091          	2.078523e-04
1092          	2.078587e-04
1093          	2.078702e-04
1094          	2.078719e-04
1095          	2.078768e-04
1096          	2.078834e-04
1097          	2.078949e-04
1098          	2.078963e-04
1099          	2.079011e-04
1100          	2.079124e-04
1101          	2.079152e-04
1102          	2.079211e-04
1103          	2.079268e-04
1104          	2.079371e-04
1105          	2.079392e-04
1106          	2.079446e-04
1107          	2.079499e-04
1108          	2.079598e-04
1109          	2.079618e-04
1110          	2.079671e-04
1111          	2.079723e-04
1112          	2.079819e-04
1113          	2.079839e-04
1114          	2.079891e-04
1115          	2.079939e-04
1116          	2.080032e-04
1117          	2.080052e-04
1118          	2.080104e-04
1119          	2.080151e-04
1120          	2.080241e-04
1121          	2.080260e-04
1122          	2.080313e-04
1123          	2.080358e-04
1124          	2.080448e-04
1125          	2.080466e-04
1126          	2.080514e-04
1127          	2.080554e-04
1128          	2.080604e-04
1129          	2.080690e-04
1130          	2.080699e-04
1131          	2.080738e-04
1132          	2.080828e-04
1133          	2.080843e-04
1134          	2.080886e-04
1135          	2.080929e-04
1136          	2.081012e-04
1137          	2.081023e-04
1138          	2.081062e-04
1139          	2.081100e-04
1140          	2.081146e-04
1141          	2.081220e-04
1142          	2.081230e-04
1143          	2.081270e-04
1144          	2.081354e-04
1145          	2.081359e-04
1146          	2.081392e-04
1147          	2.081433e-04
1148          	2.081475e-04
1149          	2.081546e-04
1150          	2.081649e-04
1151          	2.081609e-04
1152          	2.081588e-04
1153          	2.081664e-04
1154          	2.081790e-04
1155          	2.081757e-04
1156          	2.081736e-04
1157          	2.081801e-04
1158          	2.081842e-04
1159          	2.081898e-04
1160          	2.081980e-04
1161          	2.081963e-04
1162          	2.081967e-04
1163          	2.082021e-04
1164          	2.082114e-04
1165          	2.082092e-04
1166          	2.082089e-04
1167          	2.082145e-04
1168          	2.082175e-04
1169          	2.082219e-04
1170          	2.082288e-04
1171          	2.082283e-04
1172          	2.082299e-04
1173          	2.082331e-04
1174          	2.082398e-04
1175          	2.082398e-04
1176          	2.082425e-04
1177          	2.082482e-04
1178          	2.082561e-04
1179          	2.082516e-04
1180          	2.082486e-04
1181          	2.082549e-04
1182          	2.082653e-04
1183          	2.082620e-04
1184          	2.082644e-04
1185          	2.082706e-04
1186          	2.082786e-04
1187          	2.082719e-04
1188          	2.082661e-04
1189          	2.082739e-04
1190          	2.082860e-04
1191          	2.082803e-04
1192          	2.082741e-04
1193          	2.082819e-04
1194          	2.082944e-04
1195          	2.082883e-04
1196          	2.082900e-04
1197          	2.082957e-04
1198          	2.083026e-04
1199          	2.082949e-04
1200          	2.082879e-04
1201          	2.082955e-04
1202          	2.083072e-04
1203          	2.083007e-04
1204          	2.082933e-04
1205          	2.082996e-04
1206          	2.083013e-04
1207          	2.083007e-04
1208          	2.082999e-04
1209          	2.083002e-04
1210          	2.083039e-04
1211          	2.083054e-04
1212          	2.083055e-04
1213          	2.083055e-04
1214          	2.083062e-04
1215          	2.083076e-04
1216          	2.083071e-04
1217          	2.083070e-04
1218          	2.083066e-04
1219          	2.083071e-04
1220          	2.083059e-04
1221          	2.083058e-04
1222          	2.083049e-04
1223          	2.083033e-04
1224          	2.083012e-04
